00:00:00,export,0
00:00:02,import,125
00:00:04,import,251
00:00:06,import,375
00:00:08,import,500
00:00:10,import,623
00:00:12,import,746
00:00:14,import,867
00:00:16,import,986
00:00:18,import,1104
00:00:20,import,1220
00:00:22,import,1333
00:00:24,import,1445
00:00:26,import,1554
00:00:28,import,1660
00:00:30,import,1763
00:00:32,import,1863
00:00:34,import,1960
00:00:36,import,2053
00:00:38,import,2143
00:00:40,import,2229
00:00:42,import,2311
00:00:44,import,2389
00:00:46,import,2463
00:00:48,import,2532
00:00:50,import,2598
00:00:52,import,2658
00:00:54,import,2714
00:00:56,import,2765
00:00:58,import,2811
00:01:00,import,2853
00:01:02,import,2889
00:01:04,import,2920
00:01:06,import,2946
00:01:08,import,2967
00:01:10,import,2983
00:01:12,import,2994
00:01:14,import,2999
00:01:16,import,2999
00:01:18,import,2994
00:01:20,import,2983
00:01:22,import,2967
00:01:24,import,2946
00:01:26,import,2920
00:01:28,import,2889
00:01:30,import,2853
00:01:32,import,2811
00:01:34,import,2765
00:01:36,import,2714
00:01:38,import,2658
00:01:40,import,2598
00:01:42,import,2532
00:01:44,import,2463
00:01:46,import,2389
00:01:48,import,2311
00:01:50,import,2229
00:01:52,import,2143
00:01:54,import,2053
00:01:56,import,1960
00:01:58,import,1863
00:02:00,import,1763
00:02:02,import,1660
00:02:04,import,1554
00:02:06,import,1445
00:02:08,import,1333
00:02:10,import,1220
00:02:12,import,1104
00:02:14,import,986
00:02:16,import,867
00:02:18,import,746
00:02:20,import,623
00:02:22,import,500
00:02:24,import,375
00:02:26,import,251
00:02:28,import,125
00:02:30,export,1
00:02:32,export,126
00:02:34,export,252
00:02:36,export,376
00:02:38,export,501
00:02:40,export,624
00:02:42,export,747
00:02:44,export,868
00:02:46,export,987
00:02:48,export,1105
00:02:50,export,1221
00:02:52,export,1334
00:02:54,export,1446
00:02:56,export,1555
00:02:58,export,1661
00:03:00,export,1764
00:03:02,export,1864
00:03:04,export,1961
00:03:06,export,2054
00:03:08,export,2144
00:03:10,export,2230
00:03:12,export,2312
00:03:14,export,2390
00:03:16,export,2464
00:03:18,export,2533
00:03:20,export,2599
00:03:22,export,2659
00:03:24,export,2715
00:03:26,export,2766
00:03:28,export,2812
00:03:30,export,2854
00:03:32,export,2890
00:03:34,export,2921
00:03:36,export,2947
00:03:38,export,2968
00:03:40,export,2984
00:03:42,export,2995
00:03:44,export,3000
